Name,Sex,Age,Team,NOC,Sport,Medal
Louis Verrant Gabriel Le Bailly de la Falaise,M,40,France,FRA,Fencing,Gold
Oscar De La Hoya,M,19,United States,USA,Boxing,Gold
Leon De Lathouwer (-Hoogewijs),M,18,Belgium,BEL,Cycling,Gold
Elka de Levie (-Boas),F,22,Netherlands,NED,Gymnastics,Gold
Guy Julien Ernest Delage de Luget,M,40,France,FRA,Fencing,Gold
Angelo De Martini,M,27,Italy,ITA,Cycling,Gold
Jrme De Mayer,M,44,Belgium,BEL,Archery,Gold
Jrme De Mayer,M,44,Belgium,BEL,Archery,Gold
Teun Floris de Nooijer,M,20,Netherlands,NED,Hockey,Gold
Teun Floris de Nooijer,M,24,Netherlands,NED,Hockey,Gold
"Francesco ""Franco"" De Piccoli",M,22,Italy,ITA,Boxing,Gold
George Frederick William de Relwyskow,M,20,Great Britain,GBR,Wrestling,Gold
Lisanne Freya de Roever,F,29,Netherlands,NED,Hockey,Gold
Mino De Rossi,M,21,Italy,ITA,Cycling,Gold
Jolanda de Rover (-Toussaint),F,20,Netherlands,NED,Swimming,Gold
Donna Elizabeth de Varona (-Pinto),F,13,United States,USA,Swimming,Gold
Donna Elizabeth de Varona (-Pinto),F,17,United States,USA,Swimming,Gold
Donna Elizabeth de Varona (-Pinto),F,17,United States,USA,Swimming,Gold
Liam Andrew De Young,M,22,Australia,AUS,Hockey,Gold
Maurilio De Zolt Lisabetta,M,43,Italy,ITA,Cross Country Skiing,Gold
"Joseph Edmund ""Joe"" Deakin",M,29,Great Britain,GBR,Athletics,Gold
Matt Deakin,M,24,United States,USA,Rowing,Gold
"William Henry ""Billy"" Dean",M,33,Great Britain,GBR,Water Polo,Gold
Deena Diane Deardurff (-Schmidt),F,15,United States,USA,Swimming,Gold
Rajmond Debevec,M,37,Slovenia,SLO,Shooting,Gold
Albert Paul Deborgies,M,21,France,FRA,Water Polo,Gold
"Frdrik Edouard Robert ""Fred"" Deburghgraeve",M,23,Belgium,BEL,Swimming,Gold
Fernand Julien Decanali,M,23,France,FRA,Cycling,Gold
Albert Decaris,M,47,France,FRA,Art Competitions,Gold
Lucie Dcosse,F,30,France,FRA,Judo,Gold
Sara DeCosta (-Hayes),F,20,United States,USA,Ice Hockey,Gold
Edmond Albert Dcottignies,M,30,France,FRA,Weightlifting,Gold
Cornlie Gilberte Marie Dcugis (Flameng-),F,21,France,FRA,Tennis,Gold
"Maxime Omer Mathieu ""Max"" Omer-Dcugis",M,23,France,FRA,Tennis,Gold
"Maxime Omer Mathieu ""Max"" Omer-Dcugis",M,23,France,FRA,Tennis,Gold
"Maxime Omer Mathieu ""Max"" Omer-Dcugis",M,23,France,FRA,Tennis,Gold
"Donald Francis ""Don"" Dee",M,25,United States,USA,Basketball,Gold
Oskar Deecke,M,26,Germany,GER,Hockey,Gold
Didier Dfago,M,32,Switzerland,SUI,Alpine Skiing,Gold
Meseret Defar Tola,F,20,Ethiopia,ETH,Athletics,Gold
Meseret Defar Tola,F,28,Ethiopia,ETH,Athletics,Gold
Gervasio Deferr ngel,M,19,Spain,ESP,Gymnastics,Gold
Gervasio Deferr ngel,M,23,Spain,ESP,Gymnastics,Gold
Vincent Franois Marie Defrasne,M,28,France,FRA,Biathlon,Gold
James Frederick DeGale,M,22,Great Britain,GBR,Boxing,Gold
"Richard Kempster ""Dick"" Degener",M,24,United States,USA,Diving,Gold
Rudolf Reinhold Degermark,M,21,Sweden,SWE,Gymnastics,Gold
Jean Henri Deglane,M,21,France,FRA,Wrestling,Gold
Dudley Sargent DeGroot,M,24,United States,USA,Rugby,Gold
Inge Dekker,F,22,Netherlands,NED,Swimming,Gold
"Frederick Charles ""Charlie"" Delahey",M,22,Canada,CAN,Ice Hockey,Gold
Marcel Carlos Paul Gaston Delaplane (De la Plane-),M,24,France,FRA,Rowing,Gold
Jean Joseph Delarge,M,18,Belgium,BEL,Boxing,Gold
Nol Jean Delberghe,M,26,France,FRA,Water Polo,Gold
Megan Catherine Delehanty,F,24,Canada,CAN,Rowing,Gold
Carlos Francisco Delfino,M,21,Argentina,ARG,Basketball,Gold
Giuseppe Delfino,M,30,Italy,ITA,Fencing,Gold
Giuseppe Delfino,M,35,Italy,ITA,Fencing,Gold
Giuseppe Delfino,M,38,Italy,ITA,Fencing,Gold
Giuseppe Delfino,M,38,Italy,ITA,Fencing,Gold
Csar Fabin Delgado Godoy,M,22,Argentina,ARG,Football,Gold
Jos Ral Delgado Diez,M,31,Cuba,CUB,Baseball,Gold
Giovanni Delise,M,20,Italy,ITA,Rowing,Gold
"Marcus Johannes Elizabeth Leopold ""Marc"" Delissen",M,31,Netherlands,NED,Hockey,Gold
Elena Delle Donne,F,26,United States,USA,Basketball,Gold
Jeroen Petrus Maria Delme,M,23,Netherlands,NED,Hockey,Gold
Jeroen Petrus Maria Delme,M,27,Netherlands,NED,Hockey,Gold
Gbor Lzsl Delneky,M,28,Hungary,HUN,Fencing,Gold
"Joseph Nathaniel ""Joe"" DeLoach, Jr.",M,21,United States,USA,Athletics,Gold
Frdric Delpla,M,23,France,FRA,Fencing,Gold
Charles Jules Delporte,M,31,Belgium,BEL,Fencing,Gold
Yana Mykhailivna Dementieva,F,33,Ukraine,UKR,Rowing,Gold
Yevgeny Aleksandrovich Dementyev,M,23,Russia,RUS,Cross Country Skiing,Gold
Yelena Vyacheslavovna Dementyeva (-Afinogenova),F,26,Russia,RUS,Tennis,Gold
Mahmut Demir,M,26,Turkey,TUR,Wrestling,Gold
"William ""Bill"" Demong",M,29,United States,USA,Nordic Combined,Gold
Fedor Iwan den Hertog,M,22,Netherlands,NED,Cycling,Gold
"Willemijntje ""Willy"" den Ouden (-Broms, -Jager, -Schupper)",F,18,Netherlands,NED,Swimming,Gold
Antoine Dnriaz,M,29,France,FRA,Alpine Skiing,Gold
Deng Linlin,F,16,China,CHN,Gymnastics,Gold
Deng Linlin,F,20,China,CHN,Gymnastics,Gold
Deng Wei,F,23,China,CHN,Weightlifting,Gold
Deng Yaping,F,19,China,CHN,Table Tennis,Gold
Deng Yaping,F,23,China,CHN,Table Tennis,Gold
"Clara ""Clare"" Dennis (-Golding)",F,16,Australia,AUS,Swimming,Gold
Simon John Dennis,M,24,Great Britain,GBR,Rowing,Gold
"Joseph Nicholas ""Joe"" DePietro",M,34,United States,USA,Weightlifting,Gold
"John Henry ""Rob"" Derbyshire",M,29,Great Britain,GBR,Swimming,Gold
Inna Vasilyevna Deriglazova,F,26,Russia,RUS,Fencing,Gold
DeMar Darnell DeRozan,M,26,United States,USA,Basketball,Gold
Hans F. Dersch,M,24,United States,USA,Swimming,Gold
"Ulise Joseph ""Pete"" Desjardins",M,21,United States,USA,Diving,Gold
"Ulise Joseph ""Pete"" Desjardins",M,21,United States,USA,Diving,Gold
Joseph-tienne Desmarteau (Birtz-),M,31,Canada,CAN,Athletics,Gold
Robert Desmettre,M,22,France,FRA,Water Polo,Gold
Jean Sylvain Despeaux,M,20,France,FRA,Boxing,Gold
Marcel Cyr Desprets,M,41,France,FRA,Fencing,Gold
Georges Henri Dtreille,M,26,France,FRA,Cycling,Gold
"Robert Milan ""Bob"" Detweiler",M,21,United States,USA,Rowing,Gold
"Michael Aloysius ""Mike"" Devaney",M,28,United States,USA,Athletics,Gold
Charles Devendeville,M,18,France,FRA,Swimming,Gold
"Robert Humphrey Coleman ""Bob"" Devereaux",M,26,United States,USA,Rugby,Gold
Yolanda Gail L. Devers (-Roberts),F,25,United States,USA,Athletics,Gold
Yolanda Gail L. Devers (-Roberts),F,29,United States,USA,Athletics,Gold
Yolanda Gail L. Devers (-Roberts),F,29,United States,USA,Athletics,Gold
John Thomas Devitt,M,19,Australia,AUS,Swimming,Gold
John Thomas Devitt,M,23,Australia,AUS,Swimming,Gold
Marlon Ronald Devonish,M,28,Great Britain,GBR,Athletics,Gold
Kazimierz Deyna,M,24,Poland,POL,Football,Gold
Walter Ignace D'Hondt,M,20,Canada,CAN,Rowing,Gold
Pierre Georges Louis Gaston d'Hugues,M,32,France,FRA,Fencing,Gold
Raimondo D'Inzeo,M,35,Italy,ITA,Equestrianism,Gold
Giuseppe Di Capua,M,26,Italy,ITA,Rowing,Gold
Giuseppe Di Capua,M,30,Italy,ITA,Rowing,Gold
Giorgio Di Centa,M,33,Italy,ITA,Cross Country Skiing,Gold
Giorgio Di Centa,M,33,Italy,ITA,Cross Country Skiing,Gold
Manuela Di Centa,F,31,Italy,ITA,Cross Country Skiing,Gold
Manuela Di Centa,F,31,Italy,ITA,Cross Country Skiing,Gold
Roberto Di Donna,M,27,Italy,ITA,Shooting,Gold
Elisa Di Francisca,F,29,Italy,ITA,Fencing,Gold
Elisa Di Francisca,F,29,Italy,ITA,Fencing,Gold
ngel Fabin Di Mara Hernndez,M,20,Argentina,ARG,Football,Gold
Tania Di Mario,F,25,Italy,ITA,Water Polo,Gold
Manlio Di Rosa,M,21,Italy,ITA,Fencing,Gold
Manlio Di Rosa,M,42,Italy,ITA,Fencing,Gold
Michael Constantine Diamond (Diamondopoulous-),M,24,Australia,AUS,Shooting,Gold
Michael Constantine Diamond (Diamondopoulous-),M,28,Australia,AUS,Shooting,Gold
Giorge Daz Loren,M,21,Cuba,CUB,Baseball,Gold
Manuel Dionisio Daz Martnez,M,30,Cuba,CUB,Fencing,Gold
Manuel Dionisio Daz Martnez,M,30,Cuba,CUB,Fencing,Gold
Vasile Dba,M,21,Romania,ROU,Canoeing,Gold
Tirunesh Dibaba Keneni,F,23,Ethiopia,ETH,Athletics,Gold
Tirunesh Dibaba Keneni,F,23,Ethiopia,ETH,Athletics,Gold
Tirunesh Dibaba Keneni,F,27,Ethiopia,ETH,Athletics,Gold
Viggo Valdemar Dibbern,M,19,Denmark,DEN,Gymnastics,Gold
Klaus Dibiasi,M,21,Italy,ITA,Diving,Gold
Klaus Dibiasi,M,24,Italy,ITA,Diving,Gold
Klaus Dibiasi,M,28,Italy,ITA,Diving,Gold
Andreas Dibowski,M,42,Germany,GER,Equestrianism,Gold
George Thomas DiCarlo,M,21,United States,USA,Swimming,Gold
"William Eugene ""Billy"" Dickey",M,29,United States,USA,Swimming,Gold
Simon Charles Dickie,M,17,New Zealand,NZL,Rowing,Gold
Simon Charles Dickie,M,21,New Zealand,NZL,Rowing,Gold
Robert Bruce Dickson,M,20,Canada,CAN,Ice Hockey,Gold
"Mildred Ella ""Babe"" Didrikson (Didriksen-, -Zaharias)",F,21,United States,USA,Athletics,Gold
"Mildred Ella ""Babe"" Didrikson (Didriksen-, -Zaharias)",F,21,United States,USA,Athletics,Gold
Nelson W. Diebel,M,21,United States,USA,Swimming,Gold
Nelson W. Diebel,M,21,United States,USA,Swimming,Gold
Wilfried Dietrich,M,26,Germany,GER,Wrestling,Gold
John A. Dietz,M,37,United States,USA,Shooting,Gold
John A. Dietz,M,41,United States,USA,Shooting,Gold
Tina Dietze,F,24,Germany,GER,Canoeing,Gold
Alex Walter Diggelmann,M,33,Switzerland,SUI,Art Competitions,Gold
Sjoukje Rosalinde Dijkstra (-Kossmayer),F,21,Netherlands,NED,Figure Skating,Gold
Wieke Elisabeth Henritte Dijkstra,F,24,Netherlands,NED,Hockey,Gold
Robert Dill-Bundi,M,21,Switzerland,SUI,Cycling,Gold
William Harrison Dillard,M,25,United States,USA,Athletics,Gold
William Harrison Dillard,M,25,United States,USA,Athletics,Gold
William Harrison Dillard,M,29,United States,USA,Athletics,Gold
William Harrison Dillard,M,29,United States,USA,Athletics,Gold
Georges Arthur Dillon-Kavanagh du Fertagh,M,33,France,FRA,Fencing,Gold
Georges Arthur Dillon-Kavanagh du Fertagh,M,33,France,FRA,Fencing,Gold
Pyrros Dimas,M,20,Greece,GRE,Weightlifting,Gold
Pyrros Dimas,M,24,Greece,GRE,Weightlifting,Gold
Pyrros Dimas,M,28,Greece,GRE,Weightlifting,Gold
Trent Dimas,M,21,United States,USA,Gymnastics,Gold
"Konstantinos ""Kostas"" Dimitriadis",M,45,Greece,GRE,Art Competitions,Gold
Jacques Dimont,M,23,France,FRA,Fencing,Gold
Alfredo Dinale,M,24,Italy,ITA,Cycling,Gold
Didier Dominique Dinart,M,31,France,FRA,Handball,Gold
Didier Dominique Dinart,M,35,France,FRA,Handball,Gold
"Joseph ""Joe"" Dines",M,26,Great Britain,GBR,Football,Gold
Ding Meiyuan,F,20,China,CHN,Weightlifting,Gold
Ding Ning,F,22,China,CHN,Table Tennis,Gold
Ding Ning,F,26,China,CHN,Table Tennis,Gold
Ding Ning,F,26,China,CHN,Table Tennis,Gold
Ding Xia,F,26,China,CHN,Volleyball,Gold
Loredana Dinu (Iordchioiu-),F,32,Romania,ROU,Fencing,Gold
"Madeline Jane ""Maya"" DiRado",F,23,United States,USA,Swimming,Gold
"Madeline Jane ""Maya"" DiRado",F,23,United States,USA,Swimming,Gold
Carlien Clemens Dirkse van den Heuvel,F,25,Netherlands,NED,Hockey,Gold
"Terence Gilbert ""Terry"" Dischinger",M,19,United States,USA,Basketball,Gold
"Ursula ""Uschi"" Disl",F,27,Germany,GER,Biathlon,Gold
"Ursula ""Uschi"" Disl",F,31,Germany,GER,Biathlon,Gold
Constantina Di-Tomescu,F,38,Romania,ROU,Athletics,Gold
Bernd Dittert,M,31,Germany,GER,Cycling,Gold
Andreas Dittmer,M,24,Germany,GER,Canoeing,Gold
Andreas Dittmer,M,28,Germany,GER,Canoeing,Gold
Andreas Dittmer,M,32,Germany,GER,Canoeing,Gold
Diamond Brittany Dixon,F,20,United States,USA,Athletics,Gold
Diane Lynn Dixon (-Trouse),F,19,United States,USA,Athletics,Gold
"Francis Joseph ""Frank"" Dixon",M,30,Canada,CAN,Lacrosse,Gold
George Martin Dixon,M,23,United States,USA,Rugby,Gold
Darya Yevgenyevna Dmitriyeva,F,20,Russia,RUS,Handball,Gold
Christian Marie Auguste d'Oriola,M,19,France,FRA,Fencing,Gold
Christian Marie Auguste d'Oriola,M,23,France,FRA,Fencing,Gold
Christian Marie Auguste d'Oriola,M,23,France,FRA,Fencing,Gold
Christian Marie Auguste d'Oriola,M,28,France,FRA,Fencing,Gold
Nataliya Volodymyrivna Dobrynska,F,26,Ukraine,UKR,Athletics,Gold
Louise Karen Dobson,F,23,Australia,AUS,Hockey,Gold
Nika Dobud,M,26,Croatia,CRO,Water Polo,Gold
William Dod,M,40,Great Britain,GBR,Archery,Gold
Richard David Allan Dodds,M,29,Great Britain,GBR,Hockey,Gold
"Charles Webster ""Charlie"" Doe, Jr.",M,21,United States,USA,Rugby,Gold
"Charles Webster ""Charlie"" Doe, Jr.",M,25,United States,USA,Rugby,Gold
Susan Elizabeth Doerr,F,15,United States,USA,Swimming,Gold
Anna Aleksandre Dogonadze-Lilkendey,F,31,Germany,GER,Trampolining,Gold
"Hugh Lawrence ""Laurie"" Doherty",M,24,Great Britain,GBR,Tennis,Gold
"Reginald Frank ""Reggie"" Doherty",M,27,Great Britain,GBR,Tennis,Gold
Martin Doktor,M,22,Czech Republic,CZE,Canoeing,Gold
Martin Doktor,M,22,Czech Republic,CZE,Canoeing,Gold
Aleksandr Dokturishvili,M,24,Uzbekistan,UZB,Wrestling,Gold
"Thomas Fitzgerald ""Tom"" Dolan",M,20,United States,USA,Swimming,Gold
"Thomas Fitzgerald ""Tom"" Dolan",M,24,United States,USA,Swimming,Gold
George Stuart Dole,M,23,United States,USA,Wrestling,Gold
Peter James Dolfen,M,31,United States,USA,Shooting,Gold
"Evert Gerardus ""Eef"" Dolman",M,18,Netherlands,NED,Cycling,Gold
Rudolf Dombi,M,25,Hungary,HUN,Canoeing,Gold
Antonio Domenicali,M,20,Italy,ITA,Cycling,Gold
Giuseppe Domenichelli,M,24,Italy,ITA,Gymnastics,Gold
Giuseppe Domenichelli,M,32,Italy,ITA,Gymnastics,Gold
Davor Dominikovi,M,26,Croatia,CRO,Handball,Gold
Apisai Raviyawa Domolailai,M,27,Fiji,FIJ,Rugby Sevens,Gold
Ldia Dmlky-Skovics,F,28,Hungary,HUN,Fencing,Gold
Zoltn Dmtr,M,29,Hungary,HUN,Water Polo,Gold
Darya Vladimirovna Domracheva,F,27,Belarus,BLR,Biathlon,Gold
Darya Vladimirovna Domracheva,F,27,Belarus,BLR,Biathlon,Gold
Darya Vladimirovna Domracheva,F,27,Belarus,BLR,Biathlon,Gold
Stefano Donagrandi,M,29,Italy,ITA,Speed Skating,Gold
Claire Christine Donahue,F,23,United States,USA,Swimming,Gold
Dong Dong,M,23,China,CHN,Trampolining,Gold
Peter Dwight Donlon,M,21,United States,USA,Rowing,Gold
"Euphrasia Louise ""Fraze"" Donnelly (-Bungard, -Berlin)",F,18,United States,USA,Swimming,Gold
Anne Theresa Donovan,F,22,United States,USA,Basketball,Gold
Anne Theresa Donovan,F,26,United States,USA,Basketball,Gold
Ulyana Vyacheslavovna Donskova,F,19,Russia,RUS,Rhythmic Gymnastics,Gold
va Dnusz,F,24,Hungary,HUN,Canoeing,Gold
Frank Martin Dooley,M,23,United States,USA,Swimming,Gold
Ji Dopita,M,29,Czech Republic,CZE,Ice Hockey,Gold
Natalia Dorado Gmez,F,25,Spain,ESP,Hockey,Gold
"Giuseppe ""Pino"" Dordoni",M,26,Italy,ITA,Athletics,Gold
Jos Luis Doreste Blanco,M,31,Spain,ESP,Sailing,Gold
Luis Doreste Blanco,M,23,Spain,ESP,Sailing,Gold
Luis Doreste Blanco,M,31,Spain,ESP,Sailing,Gold
Xavier Elle Dorfman,M,27,France,FRA,Rowing,Gold
Robert Dorgebray,M,20,France,FRA,Cycling,Gold
Gabriella Dorio (-Spigarolo),F,27,Italy,ITA,Athletics,Gold
Loretta Dorman,F,25,Australia,AUS,Hockey,Gold
"Wilhelm ""Willy"" Drr",M,24,Germany,GER,Tug-Of-War,Gold
Sara Dosho,F,21,Japan,JPN,Wrestling,Gold
Kurt Dossin,M,23,Germany,GER,Handball,Gold
Ralph Douglas Doubell,M,23,Australia,AUS,Athletics,Gold
Natasa Douchev-Janics,F,22,Hungary,HUN,Canoeing,Gold
Natasa Douchev-Janics,F,22,Hungary,HUN,Canoeing,Gold
Natasa Douchev-Janics,F,26,Hungary,HUN,Canoeing,Gold
Drew Doughty,M,20,Canada,CAN,Ice Hockey,Gold
Drew Doughty,M,24,Canada,CAN,Ice Hockey,Gold
Douglas Chiarotti,M,21,Brazil,BRA,Volleyball,Gold
"Gabrielle Christina Victoria ""Gabby"" Douglas",F,16,United States,USA,Gymnastics,Gold
"Gabrielle Christina Victoria ""Gabby"" Douglas",F,16,United States,USA,Gymnastics,Gold
"Gabrielle Christina Victoria ""Gabby"" Douglas",F,20,United States,USA,Gymnastics,Gold
John William Henry Tyler Douglas,M,25,Great Britain,GBR,Boxing,Gold
Rowley Douglas,M,23,Great Britain,GBR,Rowing,Gold
Douglas dos Santos Justino de Melo,M,22,Brazil,BRA,Football,Gold
David Douillet,M,27,France,FRA,Judo,Gold
David Douillet,M,31,France,FRA,Judo,Gold
Owain Daniel John Doull,M,23,Great Britain,GBR,Cycling,Gold
Nataliya Viktorivna Dovhodko,F,21,Ukraine,UKR,Rowing,Gold
Murray Albert Dowey,M,22,Canada,CAN,Ice Hockey,Gold
Burton Cecil Downing,M,19,United States,USA,Cycling,Gold
Burton Cecil Downing,M,19,United States,USA,Cycling,Gold
"Stacy Rene Dragila (Mikaelsen-, -Waltz)",F,29,United States,USA,Athletics,Gold
Ion Draica,M,26,Romania,ROU,Wrestling,Gold
Foy Draper,M,22,United States,USA,Athletics,Gold
"Victoria Manalo ""Vicki"" Draves",F,23,United States,USA,Diving,Gold
"Victoria Manalo ""Vicki"" Draves",F,23,United States,USA,Diving,Gold
Otis Paul Drayton,M,25,United States,USA,Athletics,Gold
Heike Gabriela Drechsler (Daute-),F,27,Germany,GER,Athletics,Gold
Heike Gabriela Drechsler (Daute-),F,35,Germany,GER,Athletics,Gold
Caeleb Remel Dressel,M,19,United States,USA,Swimming,Gold
Caeleb Remel Dressel,M,19,United States,USA,Swimming,Gold
Ivan Chandler Dresser,M,23,United States,USA,Athletics,Gold
Clyde Austin Drexler,M,30,United States,USA,Basketball,Gold
Gerald Dreyer,M,18,South Africa,RSA,Boxing,Gold
Annika Elise Madsen Dries,F,20,United States,USA,Water Polo,Gold
"Ionel Alexandru ""Ion"" Drmb",M,26,Romania,ROU,Fencing,Gold
Franois Louis Drolet,M,25,Canada,CAN,Short Track Speed Skating,Gold
Derek Drouin,M,26,Canada,CAN,Athletics,Gold
"Jonathan A. ""Jon"" Drummond",M,32,United States,USA,Athletics,Gold
Guy Drut,M,25,France,FRA,Athletics,Gold
"Matthew Alexander ""Matt"" Dryke",M,25,United States,USA,Shooting,Gold
Alexander Mah Owens Drysdale,M,33,New Zealand,NZL,Rowing,Gold
Alexander Mah Owens Drysdale,M,37,New Zealand,NZL,Rowing,Gold
Du Li,F,22,China,CHN,Shooting,Gold
Du Li,F,26,China,CHN,Shooting,Gold
Jeroen Dubbeldam,M,27,Netherlands,NED,Equestrianism,Gold
"Matthew ""Matt"" Duchene",M,23,Canada,CAN,Ice Hockey,Gold
Richard Louis Duckett,M,23,Canada,CAN,Lacrosse,Gold
Roger Franois Ducret,M,36,France,FRA,Fencing,Gold
Roger Franois Ducret,M,36,France,FRA,Fencing,Gold
Roger Franois Ducret,M,36,France,FRA,Fencing,Gold
Kseniya Pavlovna Dudkina,F,17,Russia,RUS,Rhythmic Gymnastics,Gold
"William Henry Dudley, III",M,17,United States,USA,Swimming,Gold
Carl Christian Due-Boje,M,27,Sweden,SWE,Ice Hockey,Gold
"Virginia Ruth ""Ginny"" Duenkel",F,17,United States,USA,Swimming,Gold
Christof Duffner,M,22,Germany,GER,Ski Jumping,Gold
Justine Dufour-Lapointe,F,19,Canada,CAN,Freestyle Skiing,Gold
Luis Jorge Duggan Ham,M,30,Argentina,ARG,Polo,Gold
Charlotte Susan Jane Dujardin,F,27,Great Britain,GBR,Equestrianism,Gold
Charlotte Susan Jane Dujardin,F,27,Great Britain,GBR,Equestrianism,Gold
Charlotte Susan Jane Dujardin,F,31,Great Britain,GBR,Equestrianism,Gold
Paul Lon Auguste Louis Joseph Dujardin,M,29,France,FRA,Water Polo,Gold
"Charles Everett ""Charlie"" Dumas",M,19,United States,USA,Athletics,Gold
Maria Magdalena Dumitrache,F,23,Romania,ROU,Rowing,Gold
Ion Dumitrescu,M,35,Romania,ROU,Shooting,Gold
Alexe Dumitru,M,21,Romania,ROU,Canoeing,Gold
Alina Alexandra Dumitru (-Croitoru),F,25,Romania,ROU,Judo,Gold
Franck Dumoulin,M,28,France,FRA,Shooting,Gold
Antal Dunai (Dujmov),M,25,Hungary,HUN,Football,Gold
Lajos Dunai (Drestyk-),M,25,Hungary,HUN,Football,Gold
"James Ralph ""Jim"" Dunbar",M,22,United States,USA,Rowing,Gold
"Albert Gordon ""Bert"" Duncanson",M,20,Canada,CAN,Ice Hockey,Gold
"David Coombs ""Dave"" Dunlap",M,21,United States,USA,Rowing,Gold
"Patricia ""Tricia"" Dunn-Luoma",F,23,United States,USA,Ice Hockey,Gold
"Bernard Francis ""Frank"" Dunster",M,26,Canada,CAN,Ice Hockey,Gold
Jacques Dupont,M,20,France,FRA,Cycling,Gold
Lori Dupuis,F,29,Canada,CAN,Ice Hockey,Gold
"Pierre Durand, Jr.",M,33,France,FRA,Equestrianism,Gold
Kevin Wayne Durant,M,23,United States,USA,Basketball,Gold
Kevin Wayne Durant,M,27,United States,USA,Basketball,Gold
Scott David Durant,M,28,Great Britain,GBR,Rowing,Gold
Hasanboy Dusmatov,M,23,Uzbekistan,UZB,Boxing,Gold
Phillip Peter Dutton,M,32,Australia,AUS,Equestrianism,Gold
Phillip Peter Dutton,M,37,Australia,AUS,Equestrianism,Gold
Ren Duverger,M,21,France,FRA,Weightlifting,Gold
"Richard Lloyd ""Rich"" Duwelius",M,29,United States,USA,Volleyball,Gold
Jeroen Tarquinis Cornelis Duyster,M,29,Netherlands,NED,Rowing,Gold
Charles Edward Dvorak,M,25,United States,USA,Athletics,Gold
"Douglas Scott ""Dusty"" Dvorak",M,26,United States,USA,Volleyball,Gold
Conor James Dwyer,M,23,United States,USA,Swimming,Gold
Conor James Dwyer,M,27,United States,USA,Swimming,Gold
Jamie Raymond Dwyer,M,25,Australia,AUS,Hockey,Gold
Aleksandr Igorevich Dyachenko,M,22,Russia,RUS,Canoeing,Gold
Yekaterina Vladimirovna Dyachenko,F,28,Russia,RUS,Fencing,Gold
"Hector Monroe ""Hec"" Dyer",M,22,United States,USA,Athletics,Gold
Gnter Oskar Dyhrenfurth,M,49,Switzerland,SUI,Alpinism,Gold
"Harriet Pauline ""Hettie"" Dyhrenfurth (Heyman-)",F,43,Switzerland,SUI,Alpinism,Gold
"Rebekah ""Becky"" Dyroen-Lancer",F,25,United States,USA,Synchronized Swimming,Gold
Gustaf Peder Wilhelm Dyrssen,M,28,Sweden,SWE,Modern Pentathlon,Gold
Yuliya Valentynivna Dzhyma,F,23,Ukraine,UKR,Biathlon,Gold
Mirza Domba,M,27,Croatia,CRO,Handball,Gold
"Edward Patrick Francis ""Eddie"" Eagan",M,21,United States,USA,Boxing,Gold
"Athol John ""Joe"" Earl",M,19,New Zealand,NZL,Rowing,Gold
Gladys Shirley Eastlake-Smith (-Lamplough),F,24,Great Britain,GBR,Tennis,Gold
Ivan Leclare Eastman,M,24,United States,USA,Shooting,Gold
Ashton James Eaton,M,24,United States,USA,Athletics,Gold
Ashton James Eaton,M,28,United States,USA,Athletics,Gold
Eskild Balschmidt Ebbesen,M,24,Denmark,DEN,Rowing,Gold
Eskild Balschmidt Ebbesen,M,32,Denmark,DEN,Rowing,Gold
Eskild Balschmidt Ebbesen,M,36,Denmark,DEN,Rowing,Gold
Thomas Ebert,M,31,Denmark,DEN,Rowing,Gold
Thomas Ebert,M,35,Denmark,DEN,Rowing,Gold
Fernando Echavarri Erasum,M,35,Spain,ESP,Sailing,Gold
Tmara Echegoyen Domnguez,F,28,Spain,ESP,Sailing,Gold
"Sheila Ann Echols (-Williams, -Gross)",F,23,United States,USA,Athletics,Gold
Rudolf Eckstein,M,21,Germany,GER,Rowing,Gold
der Francis Carbonera,M,32,Brazil,BRA,Volleyball,Gold
"Gertrude Caroline ""Trudy"" Ederle",F,18,United States,USA,Swimming,Gold
"David Holmes ""Dave"" Edgar",M,22,United States,USA,Swimming,Gold
Rolf Erik Sren Edling,M,32,Sweden,SWE,Fencing,Gold
Johan Viktor Edman,M,37,Sweden,SWE,Tug-Of-War,Gold
Jonas Inge Rikard Edman,M,33,Sweden,SWE,Shooting,Gold
Sonja Viola Edstrm-Ruthstrm,F,29,Sweden,SWE,Cross Country Skiing,Gold
Hugh Robert Arthur Edwards,M,25,Great Britain,GBR,Rowing,Gold
Hugh Robert Arthur Edwards,M,25,Great Britain,GBR,Rowing,Gold
Jonathan David Edwards,M,34,Great Britain,GBR,Athletics,Gold
Teresa Edwards,F,20,United States,USA,Basketball,Gold
Teresa Edwards,F,24,United States,USA,Basketball,Gold
Teresa Edwards,F,32,United States,USA,Basketball,Gold
Teresa Edwards,F,36,United States,USA,Basketball,Gold
Horst Effertz,M,22,Germany,GER,Rowing,Gold
Krisztina Egerszegi,F,14,Hungary,HUN,Swimming,Gold
Krisztina Egerszegi,F,17,Hungary,HUN,Swimming,Gold
Krisztina Egerszegi,F,17,Hungary,HUN,Swimming,Gold
Krisztina Egerszegi,F,17,Hungary,HUN,Swimming,Gold
Krisztina Egerszegi,F,21,Hungary,HUN,Swimming,Gold
Werner Joseph Egk (Mayer-),M,35,Germany,GER,Art Competitions,Gold
Nathan John Eglington,M,23,Australia,AUS,Hockey,Gold
Marcus Ehning,M,26,Germany,GER,Equestrianism,Gold
Willi Eichhorn,M,27,Germany,GER,Rowing,Gold
