,"Miami-Dade County, Florida",,,,,,"Doral city, Florida",,,,,,"Hialeah city, Florida",,,,,,"Homestead city, Florida",,,,,,"Miami city, Florida",,,,,,"Miami Beach city, Florida",,,,,,"Miami Gardens city, Florida",,,,,
,Total,Percent,Male,Percent Male,Female,Percent Female,Total,Percent,Male,Percent Male,Female,Percent Female,Total,Percent,Male,Percent Male,Female,Percent Female,Total,Percent,Male,Percent Male,Female,Percent Female,Total,Percent,Male,Percent Male,Female,Percent Female,Total,Percent,Male,Percent Male,Female,Percent Female,Total,Percent,Male,Percent Male,Female,Percent Female
Label,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate
Total population,"2,686,867",(X),"1,320,133",(X),"1,366,734",(X),"79,359",(X),"39,959",(X),"39,400",(X),"221,318",(X),"107,136",(X),"114,182",(X),"81,672",(X),"44,011",(X),"37,661",(X),"455,955",(X),"233,584",(X),"222,371",(X),"79,616",(X),"42,946",(X),"36,670",(X),"110,714",(X),"56,038",(X),"54,676",(X)
AGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55 to 59 years,"189,102",7.0%,"93,916",7.1%,"95,186",7.0%,"6,401",8.1%,"4,027",10.1%,"2,374",6.0%,"17,296",7.8%,"9,231",8.6%,"8,065",7.1%,"5,452",6.7%,"2,746",6.2%,"2,706",7.2%,"29,252",6.4%,"14,216",6.1%,"15,036",6.8%,"5,422",6.8%,"4,092",9.5%,"1,330",3.6%,"6,034",5.5%,"2,576",4.6%,"3,458",6.3%
60 to 64 years,"172,482",6.4%,"82,622",6.3%,"89,860",6.6%,"3,485",4.4%,"1,477",3.7%,"2,008",5.1%,"15,787",7.1%,"7,127",6.7%,"8,660",7.6%,"2,325",2.8%,"1,685",3.8%,640,1.7%,"27,713",6.1%,"14,756",6.3%,"12,957",5.8%,"5,576",7.0%,"3,015",7.0%,"2,561",7.0%,"6,535",5.9%,"3,600",6.4%,"2,935",5.4%
65 to 69 years,"135,307",5.0%,"61,424",4.7%,"73,883",5.4%,"2,406",3.0%,"1,477",3.7%,929,2.4%,"11,715",5.3%,"5,295",4.9%,"6,420",5.6%,"1,776",2.2%,429,1.0%,"1,347",3.6%,"20,369",4.5%,"10,975",4.7%,"9,394",4.2%,"3,253",4.1%,"1,340",3.1%,"1,913",5.2%,"5,726",5.2%,"2,421",4.3%,"3,305",6.0%
70 to 74 years,"120,900",4.5%,"53,172",4.0%,"67,728",5.0%,"1,430",1.8%,649,1.6%,781,2.0%,"12,488",5.6%,"5,301",4.9%,"7,187",6.3%,"2,630",3.2%,966,2.2%,"1,664",4.4%,"19,169",4.2%,"8,379",3.6%,"10,790",4.9%,"4,663",5.9%,"2,616",6.1%,"2,047",5.6%,"4,594",4.1%,"2,361",4.2%,"2,233",4.1%
75 to 79 years,"86,605",3.2%,"36,902",2.8%,"49,703",3.6%,845,1.1%,191,0.5%,654,1.7%,"8,582",3.9%,"3,454",3.2%,"5,128",4.5%,"2,235",2.7%,"1,133",2.6%,"1,102",2.9%,"12,542",2.8%,"5,401",2.3%,"7,141",3.2%,"2,336",2.9%,953,2.2%,"1,383",3.8%,"3,107",2.8%,"1,420",2.5%,"1,687",3.1%
80 to 84 years,"62,667",2.3%,"24,206",1.8%,"38,461",2.8%,686,0.9%,149,0.4%,537,1.4%,"7,538",3.4%,"2,799",2.6%,"4,739",4.2%,934,1.1%,520,1.2%,414,1.1%,"9,201",2.0%,"3,697",1.6%,"5,504",2.5%,"1,958",2.5%,"1,038",2.4%,920,2.5%,"1,577",1.4%,880,1.6%,697,1.3%
85 years and over,"61,767",2.3%,"21,624",1.6%,"40,143",2.9%,547,0.7%,95,0.2%,452,1.1%,"8,454",3.8%,"2,801",2.6%,"5,653",5.0%,431,0.5%,77,0.2%,354,0.9%,"11,338",2.5%,"4,092",1.8%,"7,246",3.3%,"2,693",3.4%,"1,282",3.0%,"1,411",3.8%,"1,305",1.2%,369,0.7%,936,1.7%
SELECTED AGE CATEGORIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 to 14 years,"293,390",10.9%,"150,073",11.4%,"143,317",10.5%,"9,419",11.9%,"5,061",12.7%,"4,358",11.1%,"18,096",8.2%,"9,555",8.9%,"8,541",7.5%,"11,596",14.2%,"5,944",13.5%,"5,652",15.0%,"42,868",9.4%,"21,912",9.4%,"20,956",9.4%,"8,607",10.8%,"6,002",14.0%,"2,605",7.1%,"18,217",16.5%,"9,634",17.2%,"8,583",15.7%
15 to 17 years,"95,327",3.5%,"49,125",3.7%,"46,202",3.4%,"3,938",5.0%,"1,891",4.7%,"2,047",5.2%,"6,054",2.7%,"3,057",2.9%,"2,997",2.6%,"3,860",4.7%,"1,608",3.7%,"2,252",6.0%,"14,166",3.1%,"5,918",2.5%,"8,248",3.7%,"3,369",4.2%,"1,306",3.0%,"2,063",5.6%,"4,363",3.9%,"2,762",4.9%,"1,601",2.9%
Under 18 years,"532,542",19.8%,"272,661",20.7%,"259,881",19.0%,"19,773",24.9%,"9,947",24.9%,"9,826",24.9%,"34,662",15.7%,"17,793",16.6%,"16,869",14.8%,"20,224",24.8%,"10,537",23.9%,"9,687",25.7%,"76,179",16.7%,"39,875",17.1%,"36,304",16.3%,"15,794",19.8%,"8,948",20.8%,"6,846",18.7%,"29,094",26.3%,"15,578",27.8%,"13,516",24.7%
18 to 24 years,"218,932",8.1%,"111,339",8.4%,"107,593",7.9%,"7,674",9.7%,"4,999",12.5%,"2,675",6.8%,"16,952",7.7%,"7,634",7.1%,"9,318",8.2%,"8,728",10.7%,"5,803",13.2%,"2,925",7.8%,"33,250",7.3%,"18,123",7.8%,"15,127",6.8%,"3,632",4.6%,"1,526",3.6%,"2,106",5.7%,"9,241",8.3%,"5,195",9.3%,"4,046",7.4%
15 to 44 years,"1,043,167",38.8%,"533,163",40.4%,"510,004",37.3%,"33,564",42.3%,"16,389",41.0%,"17,175",43.6%,"75,960",34.3%,"38,637",36.1%,"37,323",32.7%,"38,032",46.6%,"21,884",49.7%,"16,148",42.9%,"204,169",44.8%,"105,871",45.3%,"98,298",44.2%,"30,190",37.9%,"14,848",34.6%,"15,342",41.8%,"43,377",39.2%,"22,908",40.9%,"20,469",37.4%
16 years and over,"2,219,875",82.6%,"1,081,040",81.9%,"1,138,835",83.3%,"62,259",78.5%,N,N,N,N,"191,810",86.7%,"91,975",85.8%,"99,835",87.4%,"64,198",78.6%,N,N,N,N,"389,463",85.4%,"197,296",84.5%,"192,167",86.4%,"65,782",82.6%,"34,869",81.2%,"30,913",84.3%,"84,609",76.4%,"42,338",75.6%,"42,271",77.3%
18 years and over,"2,154,325",80.2%,"1,047,472",79.3%,"1,106,853",81.0%,"59,586",75.1%,"30,012",75.1%,"29,574",75.1%,"186,656",84.3%,"89,343",83.4%,"97,313",85.2%,"61,448",75.2%,"33,474",76.1%,"27,974",74.3%,"379,776",83.3%,"193,709",82.9%,"186,067",83.7%,"63,822",80.2%,"33,998",79.2%,"29,824",81.3%,"81,620",73.7%,"40,460",72.2%,"41,160",75.3%
21 years and over,"2,060,652",76.7%,"999,779",75.7%,"1,060,873",77.6%,"56,359",71.0%,"28,103",70.3%,"28,256",71.7%,"178,340",80.6%,"85,757",80.0%,"92,583",81.1%,"58,358",71.5%,"31,060",70.6%,"27,298",72.5%,"367,887",80.7%,"186,925",80.0%,"180,962",81.4%,"62,125",78.0%,"32,964",76.8%,"29,161",79.5%,"78,008",70.5%,"38,230",68.2%,"39,778",72.8%
60 years and over,"639,728",23.8%,"279,950",21.2%,"359,778",26.3%,"9,399",11.8%,"4,038",10.1%,"5,361",13.6%,"64,564",29.2%,"26,777",25.0%,"37,787",33.1%,"10,331",12.6%,"4,810",10.9%,"5,521",14.7%,"100,332",22.0%,"47,300",20.2%,"53,032",23.8%,"20,479",25.7%,"10,244",23.9%,"10,235",27.9%,"22,844",20.6%,"11,051",19.7%,"11,793",21.6%
62 years and over,"562,555",20.9%,"243,331",18.4%,"319,224",23.4%,"8,212",10.3%,"3,749",9.4%,"4,463",11.3%,"56,794",25.7%,"22,960",21.4%,"33,834",29.6%,"9,245",11.3%,"3,962",9.0%,"5,283",14.0%,"89,227",19.6%,"41,731",17.9%,"47,496",21.4%,"17,874",22.5%,"8,726",20.3%,"9,148",24.9%,"18,990",17.2%,"8,780",15.7%,"10,210",18.7%
65 years and over,"467,246",17.4%,"197,328",14.9%,"269,918",19.7%,"5,914",7.5%,"2,561",6.4%,"3,353",8.5%,"48,777",22.0%,"19,650",18.3%,"29,127",25.5%,"8,006",9.8%,"3,125",7.1%,"4,881",13.0%,"72,619",15.9%,"32,544",13.9%,"40,075",18.0%,"14,903",18.7%,"7,229",16.8%,"7,674",20.9%,"16,309",14.7%,"7,451",13.3%,"8,858",16.2%
75 years and over,"211,039",7.9%,"82,732",6.3%,"128,307",9.4%,"2,078",2.6%,435,1.1%,"1,643",4.2%,"24,574",11.1%,"9,054",8.5%,"15,520",13.6%,"3,600",4.4%,"1,730",3.9%,"1,870",5.0%,"33,081",7.3%,"13,190",5.6%,"19,891",8.9%,"6,987",8.8%,"3,273",7.6%,"3,714",10.1%,"5,989",5.4%,"2,669",4.8%,"3,320",6.1%
SUMMARY INDICATORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median age (years),41.0,(X),39.7,(X),42.5,(X),37.8,(X),36.8,(X),38.3,(X),46.8,(X),45.1,(X),49.1,(X),34.2,(X),32.5,(X),36.8,(X),39.3,(X),38.7,(X),40.1,(X),42.4,(X),43.4,(X),41.0,(X),36.9,(X),36.0,(X),38.8,(X)
Sex ratio (males per 100 females),96.6,(X),(X),(X),(X),(X),101.4,(X),(X),(X),(X),(X),93.8,(X),(X),(X),(X),(X),116.9,(X),(X),(X),(X),(X),105.0,(X),(X),(X),(X),(X),117.1,(X),(X),(X),(X),(X),102.5,(X),(X),(X),(X),(X)
Age dependency ratio,59.3,(X),(X),(X),(X),(X),47.9,(X),(X),(X),(X),(X),60.5,(X),(X),(X),(X),(X),52.8,(X),(X),(X),(X),(X),48.4,(X),(X),(X),(X),(X),62.8,(X),(X),(X),(X),(X),69.5,(X),(X),(X),(X),(X)
Old-age dependency ratio,27.7,(X),(X),(X),(X),(X),11.0,(X),(X),(X),(X),(X),35.4,(X),(X),(X),(X),(X),15.0,(X),(X),(X),(X),(X),23.6,(X),(X),(X),(X),(X),30.5,(X),(X),(X),(X),(X),25.0,(X),(X),(X),(X),(X)
Child dependency ratio,31.6,(X),(X),(X),(X),(X),36.8,(X),(X),(X),(X),(X),25.1,(X),(X),(X),(X),(X),37.8,(X),(X),(X),(X),(X),24.8,(X),(X),(X),(X),(X),32.3,(X),(X),(X),(X),(X),44.5,(X),(X),(X),(X),(X)
PERCENT ALLOCATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sex,(X),0.0%,(X),(X),(X),(X),(X),0.0%,(X),(X),(X),(X),(X),0.0%,(X),(X),(X),(X),(X),0.0%,(X),(X),(X),(X),(X),0.0%,(X),(X),(X),(X),(X),0.0%,(X),(X),(X),(X),(X),0.1%,(X),(X),(X),(X)
Age,(X),2.1%,(X),(X),(X),(X),(X),0.2%,(X),(X),(X),(X),(X),1.1%,(X),(X),(X),(X),(X),1.8%,(X),(X),(X),(X),(X),2.3%,(X),(X),(X),(X),(X),1.1%,(X),(X),(X),(X),(X),2.2%,(X),(X),(X),(X)
